STATE	ENROLL	NAME	YRDATA	TOTALREV	TFEDREV	TSTREV	TLOCREV	TOTALEXP	TCURINST	TCURSSVC	TCURONON	TCAPOUT
California	31	MOUNTAIN HOUSE ELEM SCH	2013	613	51	317	245	471	230	166	15	60
California	6484	NEWARK UNIF SCH DIST	2013	63532	4358	30299	28875	64610	34713	18309	2935	1836
California	46463	OAKLAND UNIF SCH DIST	2013	604008	74530	325280	204198	595132	243203	177182	33023	96401
California	2605	PIEDMONT CITY UNIF SCH DIST	2013	40741	1299	12097	27345	39849	22661	10965	344	3210
California	14932	PLEASANTON UNIFIED SCH DIST	2013	163196	7735	77140	78321	145074	84052	35218	6139	437
California	8704	SAN LEANDRO UNI SCH DIST	2013	87228	8818	43350	35060	118849	47458	22505	5297	35589
California	12270	SAN LORENZO UNIFIED SCHOOL DIST	2013	108940	10535	58225	40180	120082	56998	30448	4940	19548
California	273	SUNOL GLEN ELEM SCH DIST	2013	2787	74	993	1720	2549	1188	938	16	332
California	0	TRI-VALLEY ROP JPA	2013	4285	168	0	4117	3933	1324	1209	1383	17
California	0	EDEN AREA ROP JPA	2013	7813	0	254	7559	6297	3867	2257	0	39
California	0	MISSION VALLEY ROC/P JPA	2013	7191	0	45	7146	5877	3056	2696	0	123
California	0	EAST BAY REGIONAL OCCUPATIONAL AGENCY JOINT POWERS AUTHORITY	2013	2	0	0	2	7	0	7	0	0
California	7325	DUBLIN UNIF SCH DISTRICT	2013	84385	1659	28108	54618	96149	39043	22195	1925	25982
California	33308	FREMONT UNIF SCHOOL DIST	2013	303718	18573	158398	126747	315635	181712	79608	9373	8279
California	12873	NEW HAVEN UNIFIED SCHOOL DIST	2013	119552	8259	64722	46571	113648	67924	29881	5098	2015
California	12629	LIVERMORE VALLEY JT UNIFIED SCH DIST	2013	121469	7244	50244	63981	117300	70775	36021	3278	898
California	103	ALPINE CO UNIF SCH DIST	2013	2979	643	724	1612	3068	1128	1658	91	191
California	3884	AMADOR CO UNIF SCH DIST	2013	30639	1630	5566	23443	30653	15135	11187	1337	299
California	117	BANGOR UNION ELEMENTARY SCH DIST	2013	2197	150	1738	309	1980	738	446	95	660
California	548	BIGGS UNIFIED SCH DIST	2013	6326	500	3075	2751	5687	2992	2198	340	30
California	991	DURHAM UNIFIED SCH DIST	2013	9034	487	4789	3758	8960	5306	3098	304	6
California	60	FEATHER FALLS UNION ELEM SCH DIST	2013	485	80	216	189	433	158	221	47	5
California	300	MANZANITA ELEM SCH DIST	2013	3161	209	2489	463	2442	1436	679	147	83
California	2622	OROVILLE CITY ELEM SCH DIST	2013	23138	2927	13875	6336	23001	13815	7215	1289	40
California	2452	OROVILLE UNION HIGH SCHOOL DIST	2013	27807	2686	13800	11321	27119	13245	8886	2057	1162
California	1297	PALERMO UNION ELEM SCH DIST	2013	11713	1635	8405	1673	11924	7060	3677	704	194
California	4282	PARADISE UNIFIED SCHOOL DISTRICT	2013	35899	3199	19420	13280	34250	21353	10255	1767	427
California	1332	THERMALITO UNION ELEM SCH DIST	2013	13327	3044	8696	1587	13172	7038	4425	1132	0
California	2112	GRIDLEY UNIFIED SCHOOL DISTRICT	2013	18132	1737	11870	4525	17029	10206	5200	911	130
California	13875	CHICO UNIF SCHOOL DIST	2013	130693	13363	66046	51284	129173	72988	34311	4862	14986
California	156	GOLDEN FEATHER UNION SCHOOL DISTRICT	2013	2804	205	1617	982	1852	993	652	96	74
California	64	PIONEER UNION ELEM SCHOOL DIST	2013	1047	140	363	544	1104	464	542	92	2
California	754	BRET HARTE UNION HIGH SCH DIST	2013	12705	239	3076	9390	15219	5169	4554	368	4542
California	3188	CALAVERAS UNI SCH DIST	2013	38502	1962	10310	26230	29938	16650	10023	1406	253
California	830	MARK TWAIN UNION ELEM SCHOOL DIST	2013	6732	493	2243	3996	6661	3638	2278	352	54
